For 1000 concurrent users, 20 times in span of 5 seconds

timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1513274738694,2,HTTP Request,200,,Grupa wątków 1-13,text,true,,322,432,15,15,2,0,0
1513274738694,3,HTTP Request,200,,Grupa wątków 1-12,text,true,,322,432,15,15,3,0,0
1513274738695,2,HTTP Request,200,,Grupa wątków 1-17,text,true,,322,432,15,15,2,0,0
1513274738692,5,HTTP Request,200,,Grupa wątków 1-16,text,true,,322,432,15,15,5,0,3
1513274738693,4,HTTP Request,200,,Grupa wątków 1-15,text,true,,322,432,15,15,4,0,0
1513274738694,3,HTTP Request,200,,Grupa wątków 1-11,text,true,,322,432,15,15,3,0,0
1513274738692,37,HTTP Request,200,,Grupa wątków 1-21,text,true,,322,432,22,22,37,0,1
1513274738697,33,HTTP Request,200,,Grupa wątków 1-16,text,true,,322,432,22,22,33,0,0
1513274738696,34,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,22,22,34,0,0
1513274738697,35,HTTP Request,200,,Grupa wątków 1-11,text,true,,322,432,21,21,35,0,0
1513274738690,42,HTTP Request,200,,Grupa wątków 1-18,text,true,,322,432,21,21,42,0,1
1513274738694,38,HTTP Request,200,,Grupa wątków 1-10,text,true,,322,432,21,21,38,0,0
1513274738694,38,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,21,21,38,0,0
1513274738690,42,HTTP Request,200,,Grupa wątków 1-19,text,true,,322,432,21,21,42,0,1
1513274738694,39,HTTP Request,200,,Grupa wątków 1-14,text,true,,322,432,21,21,39,0,0
1513274738730,3,HTTP Request,200,,Grupa wątków 1-16,text,true,,322,432,21,21,3,0,0
1513274738732,1,HTTP Request,200,,Grupa wątków 1-10,text,true,,322,432,22,22,1,0,0
1513274738732,2,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,22,22,2,0,0
1513274738728,6,HTTP Request,200,,Grupa wątków 1-28,text,true,,322,432,22,22,6,0,1
1513274738732,2,HTTP Request,200,,Grupa wątków 1-19,text,true,,322,432,22,22,2,0,0
1513274738733,1,HTTP Request,200,,Grupa wątków 1-14,text,true,,322,432,22,22,1,0,0
1513274738729,5,HTTP Request,200,,Grupa wątków 1-21,text,true,,322,432,22,22,5,0,0
1513274738696,39,HTTP Request,200,,Grupa wątków 1-13,text,true,,322,432,22,22,39,0,0
1513274738722,13,HTTP Request,200,,Grupa wątków 1-27,text,true,,322,432,22,22,13,0,1
1513274738734,1,HTTP Request,200,,Grupa wątków 1-28,text,true,,322,432,22,22,1,0,0
1513274738702,34,HTTP Request,200,,Grupa wątków 1-23,text,true,,322,432,22,22,34,0,1
1513274738734,2,HTTP Request,200,,Grupa wątków 1-14,text,true,,322,432,22,22,2,0,0
1513274738712,24,HTTP Request,200,,Grupa wątków 1-25,text,true,,322,432,22,22,24,0,1
